participant,condition,condition_idx,prototype_idx,prototype_idx_nox1,prototype,curvature,input_type,block,task,condition_task_idx,start_idx,end_idx,is_long,angle,start_offset_x,start_offset_y,start_offset,end_offset_x,end_offset_y,end_offset,end_dist_along_task_axis,drag_distance,trajectory_distance,time,n_attempts,task_axis_crossing,movement_direction_change,orthogonal_direction_change,movement_variability,movement_variability_hinge,movement_error,movement_offset
9,flat-touch,0,0,0,flat,0.0,touch,0,20,20,20,14.0,False,180.0,0.06559809923014903,0.09099414744903842,0.11217417480233953,-0.1216726278573566,0.3042969427220468,0.3277207007799468,0.12167262785735664,11.174765209536485,11.272380951617704,1066.0,1,0,14,0,0.06968624439689496,0.06968624439689496,0.25266884358801267,0.25266884358801267
9,flat-touch,0,0,0,flat,0.0,touch,0,16,16,16,22.0,False,300.0,0.30376149468475094,0.4974226607902153,0.5828381843365545,-0.32211931558598,-0.5169692558419993,0.6091125224122474,0.28664885074171814,12.551477908120109,12.666076015991273,1209.800000011921,1,3,18,0,0.124160955174072,0.06903244152530559,0.10994115930874276,0.10602551157459063
9,flat-touch,0,0,0,flat,0.0,touch,0,6,6,6,0.0,True,240.0,-0.04131550750228994,0.0826129287503468,0.09236810681659365,0.34000622756227344,0.048207459512816304,0.3434067470708872,-0.21175199837114556,22.942592498117584,23.12040875568731,1774.6000000238419,1,2,27,0,0.13571340704776608,0.08890312548644788,0.20953794517661212,0.2034829970007778
9,flat-touch,0,0,0,flat,0.0,touch,0,7,7,7,1.0,True,210.0,-0.028797793839933538,0.1601516051941691,0.16272015725261676,0.4886905714813281,-0.1045063106339493,0.49973997600458836,-0.37096529417579055,23.300505758313513,23.565727612839435,1652.5,1,4,24,0,0.18145538597165306,0.13014029362968219,0.16582873995044356,0.06508232910312314
9,flat-touch,0,0,0,flat,0.0,touch,0,17,17,17,23.0,False,270.0,0.14319717456192643,0.16931751972485098,0.22175178305550133,0.07720086627281098,-0.3393102527968646,0.34798192683865725,0.3393102527968646,11.868811259573619,12.168719102852123,1490.800000011921,1,4,11,1,0.09268426768547902,0.05401017045480307,0.08547119071449023,-0.031355838393532745
9,flat-touch,0,0,0,flat,0.0,touch,0,21,21,21,15.0,False,150.0,0.14481467398908207,0.16538658793874708,0.2198272350564985,-0.008771549888012275,0.13656110218895226,0.13684251794855046,0.07587693612805729,11.212697474429831,11.347669103825584,1184.199999988079,1,0,25,0,0.11100130364141608,0.13680560428622535,0.1642677001421534,0.1642677001421534
9,flat-touch,0,0,0,flat,0.0,touch,0,10,10,10,4.0,True,120.0,-0.26858434442681617,0.12379944497826516,0.2957428826668685,0.22895351761200414,0.2634779162545013,0.349056335826646,0.11370181000658497,23.092556562081022,23.34018445903732,1852.3999999761581,1,3,28,0,0.24229221926452735,0.13974229351377426,0.22619621681140192,0.07211755770924769
9,flat-touch,0,0,0,flat,0.0,touch,0,0,0,0,6.0,True,60.0,0.10593976670431764,-0.10235001731544402,0.14730499045801856,0.3857008973819494,-0.7833520376386536,0.8731584032200982,-0.48555231601040294,21.990573737349624,22.067203390140058,1236.3999999761581,1,5,18,0,0.14178028417704033,0.022828713042886445,0.10659590102476181,-0.003267828051735937
9,flat-touch,0,0,0,flat,0.0,touch,0,1,1,1,7.0,True,30.0,0.18937012111074325,0.03749288229118832,0.1930460022688853,-0.1939721313993559,-0.12374646025822379,0.23008340702025679,-0.22985802354716728,22.973753510647466,23.172623369299295,1929.0999999642372,1,3,39,0,0.23830726531705257,0.2619579176475363,0.2612185289692172,0.1993995157567633
9,flat-touch,0,0,0,flat,0.0,touch,0,11,11,11,5.0,True,90.0,0.39798216238184475,0.058175285525713556,0.40221159284651076,-0.13369512760285174,0.5868573690180096,0.6018936440231638,0.5868573690180096,23.254760789136945,24.18863339213294,1742.699999988079,1,1,13,3,0.2769337461730381,0.07571893672522764,0.48304167347864657,0.4400551686679515
9,flat-touch,0,0,0,flat,0.0,touch,0,2,2,2,8.0,True,0.0,0.08545861833833968,0.02580509288391095,0.08926969400107339,-0.4315876602633739,0.08427223239583878,0.4397382376421133,-0.4315876602633739,23.237119833582657,23.36964005895281,1663.300000011921,1,2,28,0,0.1262460802326103,0.1262460802326103,0.12993519996766906,-0.09275344658357473
9,flat-touch,0,0,0,flat,0.0,touch,0,12,12,12,18.0,False,60.0,-0.09299581503228728,0.11655415798652363,0.14910765693775388,-0.02672814198992115,0.09652702837776625,0.10015917722143826,0.0702307877320064,11.309621389611223,11.44604594801692,1277.800000011921,2,3,19,0,0.08144088241160138,0.041195881587593665,0.13109349866423492,0.12782212441814114
9,flat-touch,0,0,0,flat,0.0,touch,0,13,13,13,19.0,False,30.0,0.40687210171962607,-0.17493971152967774,0.44288690410513676,-0.08380350348787348,0.29794948704716934,0.30951078176456687,0.07639878057694839,12.02250343848879,12.183876978411325,1605.8999999761581,1,4,28,0,0.12893575355381115,0.09307055713605723,0.10335639781255887,-0.019660005944885112
